# Phase 1 Core Wordlist — 300 words for daily conversation
# Format: english_word | semantic_category
# Empty lines and #-lines ignored
# Words already covered by lexicon.csv are automatically skipped by kilor.py

# Body Parts
head | body
foot | body
leg | body
arm | body
face | body
nose | body
tongue | body
skin | body
bone | body
heart | body
ear | body
mouth | body
eye | body
hand | body
body | body

# Family & People
mother | people
father | people
child | people
sibling | people
brother | people
sister | people
son | people
daughter | people
man | people
woman | people
baby | people
chief | people
friend | people

# Daily Actions
sit | action
sleep | action
run | action
swim | action
fly | action
fall | action
cut | action
hit | action
push | action
pull | action
carry | action
open | action
close | action
wash | action
wear | action
buy | action
sell | action
walk | action
work | action
play | action
sing | action
dance | action
write | action
read | action
call | action
wait | action
leave | action
arrive | action
find | action
lose | action
send | action
receive | action
build | action
break | action
grow | action
kill | action
die | action
live | action
choose | action
begin | action
end | action
move | action
turn | action
hold | action
put | action
bring | action
follow | action
lead | action
fight | action

# Food & Drink
bread | food
meat | food
fruit | food
vegetable | food
salt | food
sugar | food
milk | food
egg | food
rice | food
soup | food
oil | food
wine | food
beer | food

# Clothing
shirt | clothing
shoe | clothing
hat | clothing
dress | clothing
cloth | clothing

# Shelter & Home
door | home
wall | home
roof | home
window | home
room | home
bed | home
chair | home
table | home
cup | home
plate | home
pot | home
basket | home
box | home
bag | home
key | home
lock | home
fire | home
light | home

# More Qualities
beautiful | quality
ugly | quality
strong | quality
weak | quality
soft | quality
hard | quality
wet | quality
dry | quality
heavy | quality
light | quality
full | quality
empty | quality
clean | quality
dirty | quality
sweet | quality
bitter | quality
sour | quality
sharp | quality
blunt | quality
round | quality
flat | quality
straight | quality
curved | quality
thick | quality
thin | quality
wide | quality
narrow | quality
deep | quality
shallow | quality
true | quality
false | quality
same | quality
different | quality
ready | quality
tired | quality
hungry | quality
thirsty | quality
sick | quality
healthy | quality
alive | quality
dead | quality
free | quality
busy | quality
safe | quality
dangerous | quality
easy | quality
difficult | quality
possible | quality
impossible | quality
important | quality
rich | quality
poor | quality
young | quality

# Nature & Weather
rain | nature
snow | nature
ice | nature
cloud | nature
thunder | nature
storm | nature
lake | nature
sea | nature
ocean | nature
forest | nature
field | nature
sand | nature
island | nature
wave | nature
water | nature
stone | nature
earth | nature
sky | nature
sun | nature
moon | nature
star | nature
tree | nature
flower | nature

# Animals
dog | animal
cat | animal
horse | animal
cow | animal
sheep | animal
pig | animal
snake | animal
insect | animal

# Directions & Position
up | direction
down | direction
left | direction
right | direction
front | direction
back | direction
inside | direction
outside | direction
near | direction
far | direction
above | direction
below | direction
beside | direction
between | direction
north | direction
south | direction
east | direction
west | direction

# Tools & Transport
boat | tool
cart | tool
rope | tool
hammer | tool
needle | tool
knife | tool
stick | tool
wheel | tool
bridge | tool

# Social & Communication
help | social
thank | social
greet | social
promise | social
gift | social
war | social
peace | social
law | social
rule | social
teach | social
learn | social
study | social
question | social
answer | social
story | social
joke | social
game | social
music | social
song | social
dance | social
